County,State,Age.Percent 65 and Older,Income.Per Capita Income
DeKalb County,TN,18.8,25399
DeSoto County,FL,22.5,18503
DeSoto County,MS,13.2,30195
DeWitt County,TX,20,28910
Deaf Smith County,TX,13.1,21616
Dearborn County,IN,18.3,30800
Decatur County,GA,16.7,21568
Decatur County,IA,20.3,22875
Decatur County,IN,17.4,27006
Decatur County,KS,28.4,30905
Decatur County,TN,24.1,23857
Deer Lodge County,MT,24.5,26241
Defiance County,OH,19.2,29816
Del Norte County,CA,18.4,23674
Delaware County,IA,19.8,32112
Delaware County,IN,17.5,25107
Delaware County,NY,25.2,27701
Delaware County,OH,14.1,48117
Delaware County,OK,25.2,24070
Delaware County,PA,16.8,40026
Delta County,CO,26.8,26499
Delta County,MI,24.9,27632
Delta County,TX,21,27667
Denali Borough,AK,11.3,34365
Dent County,MO,22.3,22711
Denton County,TX,10.5,41153
Denver County,CO,11.9,43770
Des Moines County,IA,21.2,29941
Deschutes County,OR,20.5,35507
Desha County,AR,19.6,19235
Deuel County,NE,23.4,26351
Deuel County,SD,22,30601
Dewey County,OK,18.2,28310
Dewey County,SD,9.9,17504
Dickens County,TX,23.7,25025
Dickenson County,VA,23,24978
Dickey County,ND,20.7,33539
Dickinson County,IA,26.7,39052
Dickinson County,KS,20.3,27219
Dickinson County,MI,22.8,29656
Dickson County,TN,16.7,27115
Dillingham Census Area,AK,10,25993
Dillon County,SC,17.2,17605
Dimmit County,TX,17.3,16925
Dinwiddie County,VA,17.9,28922
District of Columbia,DC,12.4,56147
Divide County,ND,25.4,40184
Dixie County,FL,23.7,21144
Dixon County,NE,20.7,27634
Doddridge County,WV,21.8,24053
Dodge County,GA,18.6,20216
Dodge County,MN,15.2,34399
Dodge County,NE,19.4,28019
Dodge County,WI,18.2,29726
Dolores County,CO,26.2,26323
Doniphan County,KS,19.8,25775
Donley County,TX,24.5,25534
Dooly County,GA,21.1,22716
Door County,WI,30.5,38744
Dorchester County,MD,22.1,30293
Dorchester County,SC,14.5,29853
Dougherty County,GA,16.5,22059
Douglas County,CO,12.4,53313
Douglas County,GA,11.9,27743
Douglas County,IL,18.3,28139
Douglas County,KS,12.8,32281
Douglas County,MN,23.4,36535
Douglas County,MO,24.9,21083
Douglas County,NE,13.4,35307
Douglas County,NV,29.7,38814
Douglas County,OR,26.3,26478
Douglas County,SD,24,30033
Douglas County,WA,18.2,30544
Douglas County,WI,19.2,30153
Dona Ana County,NM,16.2,22154
Drew County,AR,18.2,25543
DuPage County,IL,16.1,46272
Dubois County,IN,17.9,30366
Dubuque County,IA,18.3,32905
Duchesne County,UT,12.4,24573
Dukes County,MA,25.1,45990
Dundy County,NE,26.2,25479
Dunklin County,MO,18.8,21801
Dunn County,ND,16.1,42691
Dunn County,WI,16.1,28034
Duplin County,NC,19.4,20254
Durham County,NC,13.6,35398
Dutchess County,NY,18.1,40093
Duval County,FL,14.5,31327
Duval County,TX,18.2,17637
Dyer County,TN,17.9,27710
Eagle County,CO,12.4,44391
Early County,GA,19.3,19026
East Baton Rouge Parish,LA,14.6,32431
East Carroll Parish,LA,15.3,19483
East Feliciana Parish,LA,18.4,23612
Eastland County,TX,22.1,24548
Eaton County,MI,19.1,33427
Eau Claire County,WI,16.2,30983
Echols County,GA,13.8,23885
Ector County,TX,9.6,28954
Eddy County,ND,23.7,35639
Eddy County,NM,14.6,30246
Edgar County,IL,22.5,27797
Edgecombe County,NC,20.4,20626
Edgefield County,SC,19.4,26228
Edmonson County,KY,21.4,21802
Edmunds County,SD,22,34628
Edwards County,IL,21.9,28255
Edwards County,KS,21.7,27431
Edwards County,TX,29,24689
Effingham County,GA,11.9,31704
Effingham County,IL,17.9,31665
El Dorado County,CA,21.9,42749
El Paso County,CO,13.2,33728
El Paso County,TX,12.5,21683
Elbert County,CO,17.2,44690
Elbert County,GA,21.3,22355
Elk County,KS,28.9,23875
Elk County,PA,22.5,29772
Elkhart County,IN,15.1,26150
Elko County,NV,11.8,33875
Elliott County,KY,20.4,13856
Ellis County,KS,16,30956
Ellis County,OK,23.2,28195
Ellis County,TX,13.1,32571
